,Bath(s),Area(Marla),Bedroom(s),Servant Quarters,Kitchens,Store Rooms,Storey Unit,Main Location,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Property era
3749,5.0,5.0,4.0,1.0,2.0,1.0,2.0,Gulberg Residencia,False,False,False,False,0,Brand New (2025)
1118,6.0,11.0,6.0,1.0,2.0,1.0,2.0,PWD Housing Scheme,False,False,False,False,1,Brand New (2025)
3415,3.0,5.0,3.0,1.0,1.0,1.0,2.0,G-8,False,False,False,False,1,Brand New (2025)
5610,5.0,10.0,5.0,1.0,1.0,1.0,2.0,G-10,False,False,False,False,1,Brand New (2025)
4235,6.0,20.0,5.0,2.0,2.0,1.0,2.0,Emaar Canyon Views,False,False,False,False,1,Brand New (2025)
3590,4.0,5.0,4.0,1.0,1.0,1.0,2.0,PWD Housing Scheme,False,False,False,False,0,Brand New (2025)
167,5.0,4.0,4.0,1.0,2.0,1.0,2.0,G-13,True,False,False,False,0,Brand New (2025)
1290,5.0,5.0,5.0,1.0,2.0,1.0,1.0,D-12,False,False,False,False,0,Brand New (2025)
4823,6.0,14.0,7.0,1.0,2.0,1.0,2.0,PWD Housing Scheme,True,False,False,False,0,Brand New (2025)
984,4.0,5.0,4.0,1.0,1.0,1.0,2.0,G-8,True,False,False,False,0,Brand New (2025)
4380,5.0,7.0,4.0,1.0,2.0,1.0,2.0,G-9,True,False,False,False,0,Modern Era
4217,5.0,4.0,4.0,1.0,2.0,1.0,2.0,G-14,False,False,False,False,0,Modern Era
3053,6.0,20.0,5.0,1.0,1.0,1.0,2.0,DHA Phase 2,True,False,False,False,0,Brand New (2025)
611,6.0,20.0,7.0,1.0,2.0,2.0,2.0,Soan Garden,False,False,False,False,0,Brand New (2025)
1133,6.0,20.0,8.0,2.0,3.0,2.0,3.0,F-11,False,False,False,False,0,Modern Era
5689,6.0,10.0,5.0,1.0,2.0,2.0,2.0,DHA Phase 2,True,False,False,False,0,Brand New (2025)
3644,6.0,20.0,6.0,2.0,2.0,2.0,2.0,Soan Garden,False,False,False,False,1,Recently Built
2822,5.0,6.0,4.0,1.0,2.0,1.0,2.0,B-17,False,False,True,False,0,Recently Built
4948,6.0,20.0,6.0,2.0,2.0,2.0,2.0,PWD Housing Scheme,False,False,False,False,1,Modern Era
5825,6.0,12.0,6.0,1.0,2.0,2.0,2.0,PWD Housing Scheme,False,False,False,False,1,Brand New (2025)
5081,6.0,38.0,5.0,1.0,2.0,1.0,2.0,E-7,True,False,False,False,0,Recently Built
2095,6.0,14.0,6.0,1.0,1.0,1.0,2.0,Naval Anchorage,False,False,False,False,1,Brand New (2025)
