,Price(Cr)
405,5.5
5944,16.5
630,60.0
3435,3.0
4004,14.9
3084,2.2
1028,4.5
1378,15.5
5101,0.9
3339,8.5
1426,28.75
2606,2.65
4523,2.9
469,0.65
3849,55.0
2042,3.0
2560,8.5
1573,3.0
5437,6.5
493,4.85
202,14.85
6128,7.0
1602,2.85
1228,5.0
1398,15.5
5585,27.0
3252,11.9
4968,3.95
945,5.5
1442,1.55
5273,2.42
5716,11.2
5793,7.0
5978,0.85
2784,50.0
6286,1.7
1743,4.5
2964,6.5
30,4.65
6284,2.7
4514,4.7
5962,9.9
6012,1.85
1278,1.65
6103,3.25
1362,2.72
3957,4.5
3530,1.15
5695,3.6
6460,12.9
557,2.6
5127,5.0
5697,5.4
4928,4.75
3384,3.4
4719,3.6
1360,7.5
5831,4.55
3475,7.2
261,5.5
1941,1.95
4470,10.0
3988,2.4
2864,7.65
1359,9.7
3564,5.25
824,9.8
2749,2.35
4243,5.9
4507,7.25
5465,3.3
3631,3.3
2452,1.7
6149,4.3
4226,4.9
2662,0.85
2112,13.0
4176,1.15
5227,8.2
1458,9.15
2857,4.5
5027,3.5
174,4.3
5473,2.95
4336,6.65
1957,4.0
515,2.5
4026,14.0
1184,4.4
2443,2.65
5882,5.8
1420,4.98
6447,1.15
3236,2.65
5773,2.5
3603,0.97
523,2.7
3463,28.0
501,5.2
5747,0.43
5763,2.65
1016,3.25
6106,11.5
6191,28.0
6479,5.6
13,2.3
5439,10.0
3150,3.4
2715,37.0
1137,16.0
6400,19.5
4133,3.5
3940,6.3
130,1.35
177,3.5
4267,20.0
3494,10.75
5007,4.8
6367,4.6
6266,1.75
3340,10.0
2820,3.5
4917,4.85
5398,0.62
2862,6.4
5807,3.8
4832,17.5
4292,14.0
2763,3.9
2471,3.15
757,6.5
2752,1.5
3900,4.0
3312,2.6
1856,3.9
3440,5.7
1377,7.5
5717,14.0
5677,8.7
1616,9.75
3828,15.0
3253,9.9
621,4.15
1339,3.3
4934,23.5
704,2.45
3025,7.25
4893,4.95
2512,4.6
6307,9.75
4947,3.2
2179,20.0
3833,12.0
1735,2.4
3594,8.5
3877,5.0
2483,3.65
6230,3.55
2924,85.0
5947,15.0
3190,1.5
1174,11.5
2973,3.5
6320,64.0
4545,12.5
1817,1.32
4927,4.0
3994,3.75
5986,2.4
3238,4.5
5903,3.7
1514,1.5
2795,3.25
3633,5.75
4209,30.0
887,6.75
1922,5.4
2761,3.98
3454,5.5
3612,2.1
3175,3.4
5568,8.5
2624,4.1
6424,2.6
179,10.5
4846,9.2
101,2.5
4276,7.7
3045,3.15
1030,4.0
1912,30.0
5913,2.8
2744,10.9
3414,3.8
6073,19.0
5645,30.0
2018,2.5
2750,7.0
4382,7.25
1923,7.5
3776,0.55
6326,4.8
5542,15.0
4874,34.5
544,11.0
2829,24.0
478,7.5
5139,2.4
5685,1.7
3481,4.0
2392,11.5
1614,0.63
6293,1.25
2877,1.2
4373,2.85
5344,3.5
6413,4.45
5073,2.8
3503,1.9
5723,18.5
1951,4.6
459,3.1
2409,6.5
5524,5.0
3054,45.0
4353,14.5
3274,3.3
2488,2.6
2876,3.15
353,2.45
5299,64.0
3030,3.0
992,18.5
1307,4.5
3403,1.3
3013,7.35
4268,12.75
187,5.5
2844,3.55
2707,3.3
2336,35.0
457,11.75
935,1.9
3176,7.1
5229,4.1
811,2.15
3235,3.4
152,20.0
776,11.7
289,6.5
1029,3.1
5602,4.0
4255,2.5
5811,23.9
2115,3.2
3497,24.99
5250,6.35
5401,4.75
2154,25.0
4645,3.5
6125,3.3
4079,3.3
1226,2.75
252,14.0
2166,3.3
3871,5.65
1371,4.35
3007,8.0
3759,3.65
2429,30.0
4319,6.25
161,1.48
925,2.45
2773,11.0
3,5.75
98,35.0
2601,38.0
688,42.0
5,3.0
1815,1.8
1336,7.75
3824,3.2
293,30.0
1542,3.8
3818,2.45
318,3.55
4354,2.2
5084,16.0
1669,12.5
5255,10.35
5712,32.0
5001,2.0
4266,13.5
3779,7.3
3937,3.3
2262,13.8
2393,2.4
6245,3.7
3426,16.0
3990,4.15
5247,3.5
5767,18.43
2963,22.0
5294,4.0
3478,70.0
2932,4.9
2610,3.3
1901,18.0
4042,60.0
2294,5.5
5883,2.1
3638,7.5
3895,2.5
4124,2.4
896,4.15
5217,6.8
2205,7.15
148,4.25
3363,0.82
5058,3.75
1681,2.78
5572,15.65
301,4.3
86,1.2
6123,3.3
3074,11.5
4918,3.05
3241,2.5
782,16.5
4223,3.5
171,12.0
3172,23.0
1830,27.0
5643,22.0
2934,12.0
5576,3.7
5242,2.35
3079,0.85
713,1.4
2467,4.0
6289,4.35
4616,2.85
5059,12.0
5667,3.3
5116,3.0
5418,5.8
2630,4.0
3552,4.9
6086,45.0
1335,15.8
2453,25.0
1479,4.15
1489,68.0
1285,16.0
1944,2.05
4053,4.3
5977,4.75
3998,5.1
525,3.0
4922,13.7
3159,65.0
35,2.55
698,6.3
770,4.7
1031,48.0
72,6.25
917,3.15
436,3.55
4084,7.25
5890,3.25
1855,10.0
5936,2.75
898,2.5
3049,5.25
1861,5.4
4213,6.0
1518,7.1
487,4.6
59,2.35
4249,14.5
143,11.75
3533,0.95
1565,2.3
3377,2.5
3338,2.95
1649,0.92
5599,18.0
3390,8.9
4201,3.75
4745,4.9
2719,9.0
2597,5.5
1595,4.0
2920,2.45
5066,3.25
4685,12.5
3527,5.7
768,9.5
3368,6.95
3962,12.75
4259,5.5
2103,16.0
3805,40.0
5889,3.25
870,3.3
2198,5.5
5293,45.0
4692,3.8
5518,0.75
77,1.2
2923,17.0
960,14.5
126,5.9
950,16.5
5044,7.5
2794,3.5
4894,8.4
397,3.0
2552,17.5
5077,26.0
519,32.5
1305,11.9
2866,4.8
2968,3.6
5215,1.8
4272,4.1
4877,3.0
1088,0.7
3198,2.35
5917,2.2
54,4.75
3217,9.0
265,4.1
2181,1.45
3123,2.5
3821,6.3
91,3.0
5089,3.05
2779,3.4
4185,1.48
5361,2.35
3291,3.4
186,16.0
4355,4.5
1145,25.0
3226,3.5
3165,2.2
4783,3.6
1083,39.0
788,3.7
1464,1.55
5103,11.9
4510,4.45
221,5.75
328,17.0
1940,1.9
2999,2.1
658,16.0
3656,28.5
4285,32.5
1985,25.0
4206,2.7
3184,2.5
1938,1.95
4216,2.15
4105,9.75
1091,0.6
3189,4.75
