,Bath(s),Area(Marla),Bedroom(s),Servant Quarters,Kitchens,Store Rooms,Building,Main Location,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
3561,3.0,10.0,3.0,1.0,2.0,1.0,The Veranda Residence,E-11,0,2.0,6.0,3.0,8.0,0.0,Brand New (2025),Mid-Level,Mid Rise Core,Multiple Bank
6213,2.0,4.0,1.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,1.0,4.0,1.0,1.0,Brand New (2025),Ground/First Floor,Ground/Flat,Multiple Bank
4588,2.0,7.0,2.0,1.0,1.0,1.0,G-11,G-11,0,1.0,2.0,3.0,10.0,1.0,Brand New (2025),Lower Floors,Mid Rise Core,Multiple Bank
5943,2.0,5.0,2.0,1.0,1.0,1.0,Madina Tower,E-11,0,1.0,1.0,1.0,11.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
2713,2.0,6.0,2.0,1.0,1.0,1.0,Capital Residencia,Margalla Hills-2,0,1.0,1.0,2.0,2.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Dual Setup
6323,3.0,8.0,2.0,3.0,1.0,0.0,Lignum Tower,DHA Phase 2,0,1.0,1.0,1.0,20.0,0.0,Modern Era,Ground/First Floor,High Rise,Single/None
2614,2.0,3.0,2.0,1.0,1.0,0.0,MPCHS,B-17,0,1.0,1.0,1.0,5.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
1330,1.0,2.0,1.0,1.0,1.0,1.0,E-11,E-11,0,1.0,1.0,2.0,5.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Dual Setup
5859,2.0,3.0,2.0,1.0,2.0,1.0,D-12,D-12,1,2.0,3.0,1.0,4.0,1.0,Modern Era,Lower Floors,Lower Levels,Single/None
1255,2.0,4.0,2.0,1.0,1.0,2.0,I-16,I-16,1,1.0,1.0,2.0,7.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
4728,2.0,4.0,2.0,1.0,1.0,1.0,I-12,I-12,1,1.0,1.0,2.0,9.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Dual Setup
4709,2.0,4.0,2.0,1.0,2.0,1.0,I-12,I-12,0,1.0,1.0,2.0,9.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Dual Setup
5573,2.0,5.0,2.0,1.0,1.0,0.0,Faisal Town Phase 1,Faisal Town Phase 1,0,1.0,1.0,1.0,4.0,0.0,Modern Era,Ground/First Floor,Lower Levels,Single/None
632,2.0,6.0,2.0,1.0,1.0,1.0,E-11,E-11,0,1.0,5.0,1.0,5.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
67,1.0,3.0,1.0,0.0,2.0,0.0,Cube Apartments,Bahria Enclave,0,1.0,5.0,5.0,9.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,High-Capacity
645,2.0,4.0,2.0,1.0,1.0,2.0,D-17,D-17,0,1.0,1.0,1.0,4.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Single/None
2485,2.0,4.0,2.0,0.0,1.0,1.0,Residency,DHA Phase 2,0,1.0,1.0,1.0,1.0,0.0,Modern Era,Ground/First Floor,Ground/Flat,Single/None
1080,1.0,3.0,1.0,1.0,1.0,1.0,Top City 1,Top City 1,0,4.0,1.0,1.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
3844,3.0,7.0,2.0,1.0,1.0,1.0,Cube Apartments,Bahria Enclave,0,1.0,1.0,4.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
2572,1.0,2.0,1.0,0.0,1.0,1.0,Smama Star Mall & Residency,Gulberg Greens,0,2.0,3.0,1.0,7.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Single/None
1074,2.0,5.0,2.0,1.0,1.0,1.0,B-17,B-17,1,1.0,1.0,1.0,1.0,0.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
3751,1.0,3.0,1.0,2.0,1.0,1.0,Residency,DHA Phase 2,0,4.0,1.0,2.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Dual Setup
535,2.0,7.0,2.0,1.0,1.0,1.0,F-11,F-11,0,1.0,3.0,2.0,9.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
2138,1.0,2.0,1.0,2.0,1.0,1.0,River Garden,River Garden,0,2.0,2.0,3.0,5.0,0.0,Vintage,Lower Floors,Mid Rise Core,Multiple Bank
6237,3.0,7.0,3.0,1.0,1.0,1.0,Luxus Mall and Residency,Gulberg Greens,0,1.0,7.0,1.0,8.0,0.0,Recently Built,Mid-Level,Mid Rise Core,Single/None
4725,2.0,3.0,2.0,1.0,1.0,1.0,I-12,I-12,1,1.0,1.0,2.0,9.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Dual Setup
3993,2.0,7.0,2.0,1.0,1.0,1.0,F-11,F-11,0,1.0,1.0,2.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
3677,2.0,7.0,2.0,1.0,1.0,1.0,G-11,G-11,0,2.0,1.0,3.0,10.0,1.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Multiple Bank
2174,2.0,7.0,2.0,1.0,2.0,1.0,Skypark One,Gulberg Greens,0,1.0,1.0,1.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
538,3.0,9.0,3.0,1.0,2.0,1.0,Executive Apartments,DHA Phase 2,0,1.0,4.0,6.0,12.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,High-Capacity
5630,2.0,3.0,2.0,1.0,1.0,1.0,I-12,I-12,1,1.0,1.0,2.0,9.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Dual Setup
2072,3.0,7.0,3.0,1.0,1.0,1.0,Margalla View Society,Margalla View Housing Society,0,1.0,1.0,1.0,1.0,0.0,Modern Era,Ground/First Floor,Ground/Flat,Single/None
877,3.0,9.0,3.0,1.0,1.0,1.0,F-10,F-10,0,1.0,1.0,2.0,1.0,1.0,Recently Built,Ground/First Floor,Ground/Flat,Dual Setup
2714,2.0,7.0,2.0,1.0,1.0,1.0,G-11,G-11,1,1.0,1.0,1.0,10.0,1.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
